WARNING 2025-03-31 23:46:02,082 basehttp "POST /users/ HTTP/1.1" 401 51
WARNING 2025-03-31 23:46:21,779 log Unauthorized: /users/
WARNING 2025-03-31 23:46:21,780 basehttp "POST /users/ HTTP/1.1" 401 51
WARNING 2025-03-31 23:47:36,256 log Unauthorized: /users/
WARNING 2025-03-31 23:47:36,257 basehttp "GET /users/ HTTP/1.1" 401 10033
INFO 2025-03-31 23:47:36,291 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-03-31 23:47:36,295 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-03-31 23:47:36,296 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-03-31 23:47:36,299 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2025-03-31 23:47:36,300 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-03-31 23:47:36,301 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-03-31 23:47:36,301 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
INFO 2025-03-31 23:47:36,302 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-03-31 23:47:36,302 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-03-31 23:47:36,303 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-03-31 23:47:36,303 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
INFO 2025-03-31 23:47:36,334 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
WARNING 2025-03-31 23:47:53,360 log Unauthorized: /users/
WARNING 2025-03-31 23:47:53,361 basehttp "POST /users/ HTTP/1.1" 401 51
INFO 2025-03-31 23:48:57,501 autoreload C:\Users\Ondøej Liška\source\repos\Web\python_bp\django\python_bp\views.py changed, reloading.
INFO 2025-03-31 23:48:58,080 autoreload Watching for file changes with StatReloader
INFO 2025-03-31 23:49:29,785 basehttp "POST /users/ HTTP/1.1" 201 73
INFO 2025-03-31 23:49:48,908 basehttp "POST /auth/token/ HTTP/1.1" 200 483
INFO 2025-03-31 23:49:48,954 basehttp "GET /users/me/ HTTP/1.1" 200 225
INFO 2025-03-31 23:51:32,029 basehttp "GET /users/me/ HTTP/1.1" 200 225
INFO 2025-03-31 23:51:32,029 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:51:42,570 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:51:49,275 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:52:37,881 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:52:41,153 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:53:43,057 basehttp "POST /auth/token/ HTTP/1.1" 200 483
INFO 2025-03-31 23:53:43,092 basehttp "GET /users/me/ HTTP/1.1" 200 225
INFO 2025-03-31 23:53:43,463 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
INFO 2025-03-31 23:53:43,464 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
INFO 2025-03-31 23:54:09,094 basehttp "GET /users/me/ HTTP/1.1" 200 225
INFO 2025-03-31 23:54:09,138 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
INFO 2025-03-31 23:54:48,306 basehttp "GET /users/me/ HTTP/1.1" 200 225
INFO 2025-03-31 23:54:48,306 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:54:52,818 basehttp "GET /users/me/ HTTP/1.1" 200 225
INFO 2025-03-31 23:54:52,818 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:56:10,589 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:56:10,590 basehttp "GET /users/me/ HTTP/1.1" 200 225
INFO 2025-03-31 23:56:21,389 basehttp "GET /projects/?student=1&page_size=5&ordering=-updated_at HTTP/1.1" 200 52
